,Exterior,Buffer
0,"['East Harlem : {latitude: ""40.781184"", longitude: ""-73.928686""},{latitude: ""40.783807"", longitude: ""-73.935929""},{latitude: ""40.7859"", longitude: ""-73.93551""},{latitude: ""40.78929"", longitude: ""-73.932714""},{latitude: ""40.791146"", longitude: ""-73.931404""},{latitude: ""40.791303"", longitude: ""-73.925754""},{latitude: ""40.79163"", longitude: ""-73.926622""},{latitude: ""40.79452"", longitude: ""-73.92654""},{latitude: ""40.799987"", longitude: ""-73.926879""},{latitude: ""40.798814"", longitude: ""-73.918837""},{latitude: ""40.795799"", longitude: ""-73.914684""},{latitude: ""40.791998"", longitude: ""-73.915592""},{latitude: ""40.783779"", longitude: ""-73.923803""},{latitude: ""40.781075"", longitude: ""-73.927829""}']","['East Harlem : {latitude: ""40.783453230873405"", longitude: ""-73.94648356990037""},{latitude: ""40.79465514352185"", longitude: ""-73.94120155505074""},{latitude: ""40.79599229449111"", longitude: ""-73.94017105868987""},{latitude: ""40.80014686790213"", longitude: ""-73.93708362837576""},{latitude: ""40.811942081274125"", longitude: ""-73.9301053295897""},{latitude: ""40.80698687384361"", longitude: ""-73.91304868398235""},{latitude: ""40.80487830831102"", longitude: ""-73.90959455847604""},{latitude: ""40.79403505948594"", longitude: ""-73.90395432040015""},{latitude: ""40.78481513758067"", longitude: ""-73.90862632259017""},{latitude: ""40.779181948219744"", longitude: ""-73.91455210032179""},{latitude: ""40.77395573647828"", longitude: ""-73.92079038752489""},{latitude: ""40.771467277529865"", longitude: ""-73.93154662515164""},{latitude: ""40.77403330487078"", longitude: ""-73.94062082052827""},{latitude: ""40.783453230873405"", longitude: ""-73.94648356990037""}']"
1,"['Gramercy Park : {latitude: ""40.736962"", longitude: ""-73.984508""},{latitude: ""40.738714"", longitude: ""-73.986854""},{latitude: ""40.741617"", longitude: ""-73.993739""},{latitude: ""40.745421"", longitude: ""-73.990968""},{latitude: ""40.745921"", longitude: ""-73.986393""},{latitude: ""40.750959"", longitude: ""-73.982724""},{latitude: ""40.754783"", longitude: ""-73.979937""},{latitude: ""40.759787"", longitude: ""-73.976289""},{latitude: ""40.763588"", longitude: ""-73.971411""},{latitude: ""40.761233"", longitude: ""-73.963884""},{latitude: ""40.760492"", longitude: ""-73.962141""},{latitude: ""40.758133"", longitude: ""-73.958599""},{latitude: ""40.753258"", longitude: ""-73.9629""},{latitude: ""40.746048"", longitude: ""-73.969163""},{latitude: ""40.74009"", longitude: ""-73.972421""},{latitude: ""40.735166"", longitude: ""-73.972577""},{latitude: ""40.734896"", longitude: ""-73.974001""},{latitude: ""40.73255"", longitude: ""-73.97432""},{latitude: ""40.734975"", longitude: ""-73.979864""}']","['Gramercy Park : {latitude: ""40.73263485554648"", longitude: ""-74.00001696297655""},{latitude: ""40.748115098980776"", longitude: ""-74.00137909061738""},{latitude: ""40.74977695689345"", longitude: ""-74.00016762403934""},{latitude: ""40.751062755374434"", longitude: ""-73.99922944053614""},{latitude: ""40.75920933241722"", longitude: ""-73.98908666946281""},{latitude: ""40.76004987582839"", longitude: ""-73.988473153854""},{latitude: ""40.77603282097298"", longitude: ""-73.97683338970752""},{latitude: ""40.77352156354605"", longitude: ""-73.96728483781358""},{latitude: ""40.76594566346487"", longitude: ""-73.94736770710996""},{latitude: ""40.751246735693485"", longitude: ""-73.9513142876875""},{latitude: ""40.74737146863634"", longitude: ""-73.95478812384228""},{latitude: ""40.74544833402061"", longitude: ""-73.95641087754818""},{latitude: ""40.74136015094057"", longitude: ""-73.95466404336761""},{latitude: ""40.72020925111211"", longitude: ""-73.96070179504086""},{latitude: ""40.7204645607272"", longitude: ""-73.96712684880042""},{latitude: ""40.72301111442541"", longitude: ""-73.9787893118552""},{latitude: ""40.724514459747965"", longitude: ""-73.98086550346707""},{latitude: ""40.725644818435185"", longitude: ""-73.983528990213""},{latitude: ""40.72847001765004"", longitude: ""-73.99011139843718""}']"
2,"['Upper East Side : {latitude: ""40.758528"", longitude: ""-73.958207""},{latitude: ""40.759284"", longitude: ""-73.959263""},{latitude: ""40.761443"", longitude: ""-73.96244""},{latitude: ""40.76218"", longitude: ""-73.966128""},{latitude: ""40.765518"", longitude: ""-73.972099""},{latitude: ""40.769271"", longitude: ""-73.969365""},{latitude: ""40.77314"", longitude: ""-73.966537""},{latitude: ""40.776994"", longitude: ""-73.963729""},{latitude: ""40.780241"", longitude: ""-73.961361""},{latitude: ""40.784098"", longitude: ""-73.958558""},{latitude: ""40.787914"", longitude: ""-73.955778""},{latitude: ""40.785881"", longitude: ""-73.948827""},{latitude: ""40.782799"", longitude: ""-73.943823""},{latitude: ""40.779083"", longitude: ""-73.942389""},{latitude: ""40.77191"", longitude: ""-73.945498""},{latitude: ""40.767514"", longitude: ""-73.949391""},{latitude: ""40.763146"", longitude: ""-73.953234""}']","['Upper East Side : {latitude: ""40.755001660557824"", longitude: ""-73.97484264264064""},{latitude: ""40.772691521224075"", longitude: ""-73.97924505669108""},{latitude: ""40.77518745996654"", longitude: ""-73.97742699060899""},{latitude: ""40.77765611086019"", longitude: ""-73.97562257865735""},{latitude: ""40.78029254089576"", longitude: ""-73.97369461782718""},{latitude: ""40.78288764917394"", longitude: ""-73.97180766940868""},{latitude: ""40.78484798544664"", longitude: ""-73.97037632885693""},{latitude: ""40.78743967644843"", longitude: ""-73.96848449204779""},{latitude: ""40.78997245168084"", longitude: ""-73.96665161382445""},{latitude: ""40.79250046296241"", longitude: ""-73.96479244106824""},{latitude: ""40.79876452869093"", longitude: ""-73.95388784116135""},{latitude: ""40.78561483014096"", longitude: ""-73.9306228430292""},{latitude: ""40.769737045124394"", longitude: ""-73.93370023243182""},{latitude: ""40.76289100090597"", longitude: ""-73.94037987835992""},{latitude: ""40.76053388182033"", longitude: ""-73.94205191747852""},{latitude: ""40.75759886907028"", longitude: ""-73.94481001239069""},{latitude: ""40.753024575552594"", longitude: ""-73.94937353489836""},{latitude: ""40.748903495061406"", longitude: ""-73.96288370109191""}']"
3,"['Central Harlem : {latitude: ""40.797478"", longitude: ""-73.948792""},{latitude: ""40.801844"", longitude: ""-73.959147""},{latitude: ""40.810839"", longitude: ""-73.956801""},{latitude: ""40.807338"", longitude: ""-73.96439""},{latitude: ""40.813922"", longitude: ""-73.962169""},{latitude: ""40.816071"", longitude: ""-73.961208""},{latitude: ""40.818099"", longitude: ""-73.962067""},{latitude: ""40.820303"", longitude: ""-73.959657""},{latitude: ""40.81791"", longitude: ""-73.951768""},{latitude: ""40.819025"", longitude: ""-73.948374""},{latitude: ""40.821264"", longitude: ""-73.946078""},{latitude: ""40.829717"", longitude: ""-73.938588""},{latitude: ""40.832685"", longitude: ""-73.939676""},{latitude: ""40.838748"", longitude: ""-73.93546""},{latitude: ""40.840475"", longitude: ""-73.935295""},{latitude: ""40.846615"", longitude: ""-73.931987""},{latitude: ""40.82457"", longitude: ""-73.933919""},{latitude: ""40.806666"", longitude: ""-73.934921""},{latitude: ""40.805744"", longitude: ""-73.942754""},{latitude: ""40.800665"", longitude: ""-73.946462""}']","['Central Harlem : {latitude: ""40.80303079015948"", longitude: ""-73.97987281559543""},{latitude: ""40.81873695852682"", longitude: ""-73.97764215156776""},{latitude: ""40.83201497721082"", longitude: ""-73.96303870726364""},{latitude: ""40.83436765954709"", longitude: ""-73.95146677619348""},{latitude: ""40.8366796853194"", longitude: ""-73.94902643238693""},{latitude: ""40.840367534108296"", longitude: ""-73.94623755942017""},{latitude: ""40.84815078785856"", longitude: ""-73.94325882127926""},{latitude: ""40.850147177021036"", longitude: ""-73.94178991660087""},{latitude: ""40.85227584196251"", longitude: ""-73.94023593713888""},{latitude: ""40.85233149249581"", longitude: ""-73.91386525393503""},{latitude: ""40.83261522010702"", longitude: ""-73.92469390251148""},{latitude: ""40.82391104696754"", longitude: ""-73.92379805618941""},{latitude: ""40.816406052380934"", longitude: ""-73.92357537991955""},{latitude: ""40.7978310476655"", longitude: ""-73.92987198006988""},{latitude: ""40.79608165927774"", longitude: ""-73.93742617132128""},{latitude: ""40.79408634763757"", longitude: ""-73.93888150125565""},{latitude: ""40.79286865685493"", longitude: ""-73.93976857376174""},{latitude: ""40.785111583375524"", longitude: ""-73.94605326056735""},{latitude: ""40.791070942080175"", longitude: ""-73.96323689717606""},{latitude: ""40.80303079015948"", longitude: ""-73.97987281559543""}']"
4,"['Chelsea and Clinton : {latitude: ""40.740291"", longitude: ""-74.00273""},{latitude: ""40.74387"", longitude: ""-74.012285""},{latitude: ""40.747678"", longitude: ""-74.011494""},{latitude: ""40.752454"", longitude: ""-74.010236""},{latitude: ""40.754682"", longitude: ""-74.007205""},{latitude: ""40.758786"", longitude: ""-74.006953""},{latitude: ""40.76039"", longitude: ""-74.003093""},{latitude: ""40.764349"", longitude: ""-74.002968""},{latitude: ""40.767139"", longitude: ""-73.996933""},{latitude: ""40.771859"", longitude: ""-73.997477""},{latitude: ""40.771907"", longitude: ""-73.990237""},{latitude: ""40.768214"", longitude: ""-73.982435""},{latitude: ""40.767659"", longitude: ""-73.981597""},{latitude: ""40.761148"", longitude: ""-73.979513""},{latitude: ""40.753481"", longitude: ""-73.980888""},{latitude: ""40.744066"", longitude: ""-73.987746""},{latitude: ""40.740597"", longitude: ""-73.992082""},{latitude: ""40.731856"", longitude: ""-73.996639""},{latitude: ""40.736564"", longitude: ""-74.001095""}']","['Chelsea and Clinton : {latitude: ""40.74851817380961"", longitude: ""-74.02550832187256""},{latitude: ""40.758197170007975"", longitude: ""-74.0278765573917""},{latitude: ""40.767284570813544"", longitude: ""-74.01558521114568""},{latitude: ""40.78104333968424"", longitude: ""-74.0042944398327""},{latitude: ""40.78334431890691"", longitude: ""-73.9942944860101""},{latitude: ""40.77539364279487"", longitude: ""-73.97157431539298""},{latitude: ""40.76408416785526"", longitude: ""-73.96075562293078""},{latitude: ""40.750112741591884"", longitude: ""-73.97096406123012""},{latitude: ""40.74630438791822"", longitude: ""-73.97374257410122""},{latitude: ""40.74320186671547"", longitude: ""-73.9760020634752""},{latitude: ""40.740044465286246"", longitude: ""-73.97830182272985""},{latitude: ""40.733769623196274"", longitude: ""-73.98287340097073""},{latitude: ""40.73115420212431"", longitude: ""-73.98477973504207""},{latitude: ""40.72878353748329"", longitude: ""-73.98650254930797""},{latitude: ""40.72593061628799"", longitude: ""-73.98858307871474""},{latitude: ""40.727981606494794"", longitude: ""-74.016053841141""},{latitude: ""40.73921772509236"", longitude: ""-74.02358124156208""},{latitude: ""40.74835104956489"", longitude: ""-74.02563063067736""}']"
5,"['Upper West Side : {latitude: ""40.778168"", longitude: ""-73.974532""},{latitude: ""40.772417"", longitude: ""-73.978728""},{latitude: ""40.768486"", longitude: ""-73.981836""},{latitude: ""40.772242"", longitude: ""-73.989994""},{latitude: ""40.77877"", longitude: ""-73.987291""},{latitude: ""40.787889"", longitude: ""-73.983751""},{latitude: ""40.803383"", longitude: ""-73.972899""},{latitude: ""40.818025"", longitude: ""-73.96179""},{latitude: ""40.816236"", longitude: ""-73.961257""},{latitude: ""40.814981"", longitude: ""-73.961491""},{latitude: ""40.812624"", longitude: ""-73.963016""},{latitude: ""40.807338"", longitude: ""-73.96439""},{latitude: ""40.809404"", longitude: ""-73.957245""},{latitude: ""40.807546"", longitude: ""-73.956806""},{latitude: ""40.801156"", longitude: ""-73.959647""},{latitude: ""40.796111"", longitude: ""-73.96144""},{latitude: ""40.790365"", longitude: ""-73.965632""},{latitude: ""40.784611"", longitude: ""-73.969832""}']","['Upper West Side : {latitude: ""40.7676293445279"", longitude: ""-74.00210904938974""},{latitude: ""40.79004983726768"", longitude: ""-73.99437450640367""},{latitude: ""40.79887795868278"", longitude: ""-73.98829197240906""},{latitude: ""40.8066786039449"", longitude: ""-73.9828404405477""},{latitude: ""40.81942994444602"", longitude: ""-73.9737504982726""},{latitude: ""40.827357421438705"", longitude: ""-73.95797836898596""},{latitude: ""40.80548502686861"", longitude: ""-73.94592668177313""},{latitude: ""40.79150166495459"", longitude: ""-73.9524251895377""},{latitude: ""40.78828359883683"", longitude: ""-73.95477416364476""},{latitude: ""40.785100448174866"", longitude: ""-73.95709606015009""},{latitude: ""40.78196011605998"", longitude: ""-73.9593759801618""},{latitude: ""40.77870152044814"", longitude: ""-73.96176484078487""},{latitude: ""40.77358087685"", longitude: ""-73.9654948263112""},{latitude: ""40.77100446738976"", longitude: ""-73.96738296285974""},{latitude: ""40.76776622043932"", longitude: ""-73.9697454938027""},{latitude: ""40.76463815508262"", longitude: ""-73.97203122857744""},{latitude: ""40.75691441714663"", longitude: ""-73.98130934306427""},{latitude: ""40.7676293445279"", longitude: ""-74.00210904938974""}']"
6,"['Washington Heights : {latitude: ""40.829724"", longitude: ""-73.953177""},{latitude: ""40.848244"", longitude: ""-73.946853""},{latitude: ""40.856512"", longitude: ""-73.938591""},{latitude: ""40.862362"", longitude: ""-73.932665""},{latitude: ""40.86052"", longitude: ""-73.932524""},{latitude: ""40.863412"", longitude: ""-73.930002""},{latitude: ""40.865536"", longitude: ""-73.927301""},{latitude: ""40.856851"", longitude: ""-73.922828""},{latitude: ""40.845861"", longitude: ""-73.930181""},{latitude: ""40.842958"", longitude: ""-73.934671""},{latitude: ""40.839523"", longitude: ""-73.935008""},{latitude: ""40.838078"", longitude: ""-73.936231""},{latitude: ""40.831952"", longitude: ""-73.940174""},{latitude: ""40.828986"", longitude: ""-73.93896""},{latitude: ""40.824032"", longitude: ""-73.944756""},{latitude: ""40.820052"", longitude: ""-73.94762""},{latitude: ""40.818327"", longitude: ""-73.949398""},{latitude: ""40.819168"", longitude: ""-73.954952""},{latitude: ""40.821139"", longitude: ""-73.959259""},{latitude: ""40.827953"", longitude: ""-73.95633""}']","['Washington Heights : {latitude: ""40.810506947030554"", longitude: ""-73.96208773975884""},{latitude: ""40.81888231250072"", longitude: ""-73.98654379188825""},{latitude: ""40.832505333091625"", longitude: ""-73.96572294666396""},{latitude: ""40.840135177346745"", longitude: ""-73.95971615606516""},{latitude: ""40.845799818597975"", longitude: ""-73.95672547501567""},{latitude: ""40.86335882868594"", longitude: ""-73.95820751454157""},{latitude: ""40.86242988066946"", longitude: ""-73.94667139736995""},{latitude: ""40.866250492211485"", longitude: ""-73.943529004203""},{latitude: ""40.87335600888633"", longitude: ""-73.93380533385127""},{latitude: ""40.87540503240178"", longitude: ""-73.92934657751387""},{latitude: ""40.861333449059984"", longitude: ""-73.90994611618385""},{latitude: ""40.840913897494595"", longitude: ""-73.92026375007136""},{latitude: ""40.8247864089159"", longitude: ""-73.92987675033449""},{latitude: ""40.82115302765978"", longitude: ""-73.93205573566317""},{latitude: ""40.81926097589175"", longitude: ""-73.93343628235027""},{latitude: ""40.81102725270849"", longitude: ""-73.93966786893078""},{latitude: ""40.8093053733167"", longitude: ""-73.9434666757299""},{latitude: ""40.80501371033572"", longitude: ""-73.94882185934266""},{latitude: ""40.808006930467954"", longitude: ""-73.95616085095044""},{latitude: ""40.810506947030554"", longitude: ""-73.96208773975884""}']"
